Released,Members,Quest item,Tradeable,Equipable,Stackable,Options,Destory,Examine,Value,High alch,Low alch,Weight,Price,Buy limit,Daily volume,Combat,Skilling,Food,Untradeable,Quest
26 January 2005 (Update),Yes,No,Yes,Yes,No,Wear,Drop,These will protect my feet.,1920 ,1152 ,768 ,1.36 kg,1024  (info),125,660,1,0,0,0,0
5 January 2022 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Some ceremonial boots dedicated to an ancient god.,40000 ,24000 ,16000 ,0.3 kg,23061  (info),8,158,1,0,0,0,0
6 July 2016 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Ancient blessed dragonhide boots.,9300 ,5580 ,3720 ,1.4 kg,716287  (info),8,531,1,0,0,0,0
17 September 2015 (Update),Yes,No,No,Yes,No,Wear,Drop,Where's Welly?,100 ,60 ,40 ,1 kg,0,0,0,1,0,0,0,0
18 December 2014 (Update),No,No,No,Yes,No,Wear,This gift came from Anti-Santa. You can get another from Diango.,Definitely no jingle-bells on these boots.,0 ,0 ,0 ,0.4 kg,0,0,0,1,0,0,0,0
6 July 2016 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Armadyl blessed dragonhide boots.,9300 ,5580 ,3720 ,1.4 kg,942122  (info),8,555,1,0,0,0,0
4 January 2001 (Update),No,No,Yes,Yes,No,Wear,Drop,A series of connected metal rings.,4800 ,2880 ,1920,7.711 kg,3294  (info),125,3626,1,0,0,0,0
5 December 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Fabulously ancient range protection crafted from white dragonhide.,50500 ,30300 ,20200 ,1 kg,6586473  (info),8,9,1,0,0,0,0
15 March 2006 (Update),Yes,No,No,Yes,No,Wear,Drop,A pair of nice gloves.,2500 ,1500 ,1000 ,0.226 kg,0,0,0,1,0,0,0,0
12 June 2014 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Ancient blessed dragonhide vambraces.,4000 ,2400 ,1600 ,1 kg,99168  (info),8,262,1,0,0,0,0
6 July 2016 (Update),Yes,No,Yes,Yes,No,Wear,Drop,These gloves will make your flesh transparent.,1,0 ,0 ,0.5 kg,3945952  (info),4,38,1,0,0,0,0
12 June 2014 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Armadyl blessed dragonhide vambraces.,4000 ,2400 ,1600 ,1 kg,82964  (info),8,221,1,0,0,0,0
5 December 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Fabulously ancient armour beaten from magical silver.,90000 ,54000 ,36000 ,0.907 kg,22310555  (info),8,27,1,0,0,0,0
4 January 2001 (Update),No,No,Yes,Yes,No,Wear,Drop,A full face helmet.,3520 ,2112 ,1408 ,3.175 kg,1824  (info),125,10790,1,0,0,0,0
5 May 2004 (Update),No,No,Yes,Yes,No,Wear,Drop,Adamant full helmet with gold trim.,3520 ,2112 ,1408 ,3.175 kg,13562  (info),8,99,1,0,0,0,0
5 May 2004 (Update),No,No,Yes,Yes,No,Wear,Drop,Adamant full helmet with trim.,3520 ,2112 ,1408 ,3.175 kg,4336  (info),8,51,1,0,0,0,0
5 December 2006 (Update),No,No,Yes,Yes,No,Wear,Drop,An adamant helmet with a heraldic design.,3520 ,2112 ,1408 ,3.175 kg,4635  (info),70,70,1,0,0,0,0
5 December 2006 (Update),No,No,Yes,Yes,No,Wear,Drop,An adamant helmet with a heraldic design.,3520 ,2112 ,1408 ,3.175 kg,3628  (info),70,44,1,0,0,0,0
5 December 2006 (Update),No,No,Yes,Yes,No,Wear,Drop,An adamant helmet with a heraldic design.,3520 ,2112 ,1408 ,3.175 kg,3025  (info),70,39,1,0,0,0,0
5 December 2006 (Update),No,No,Yes,Yes,No,Wear,Drop,An adamant helmet with a heraldic design.,3520 ,2112 ,1408 ,3.175 kg,4035  (info),70,44,1,0,0,0,0
