Released,Members,Quest item,Tradeable,Equipable,Stackable,Options,Destory,Examine,Value,High alch,Low alch,Weight,Price,Buy limit,Daily volume,Combat,Skilling,Food,Untradeable,Quest
26 January 2005 (Update),Yes,No,Yes,Yes,No,Wear,Drop,These will protect my feet.,1920 coins,1152 coins,768 coins,1.36 kg,1024 coins (info),125,660,1,0,0,0,0
5 January 2022 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Some ceremonial boots dedicated to an ancient god.,40000 coins,24000 coins,16000 coins,0.3 kg,23061 coins (info),8,158,1,0,0,0,0
6 July 2016 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Ancient blessed dragonhide boots.,9300 coins,5580 coins,3720 coins,1.4 kg,716287 coins (info),8,531,1,0,0,0,0
17 September 2015 (Update),Yes,No,No,Yes,No,Wear,Drop,Where's Welly?,100 coins,60 coins,40 coins,1 kg,None,None,None,1,0,0,0,0
18 December 2014 (Update),No,No,No,Yes,No,Wear,This gift came from Anti-Santa. You can get another from Diango.,Definitely no jingle-bells on these boots.,0 coins,0 coins,0 coins,0.4 kg,None,None,None,1,0,0,0,0
6 July 2016 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Armadyl blessed dragonhide boots.,9300 coins,5580 coins,3720 coins,1.4 kg,942122 coins (info),8,555,1,0,0,0,0
4 January 2001 (Update),No,No,Yes,Yes,No,Wear,Drop,A series of connected metal rings.,4800 coins,2880 coins,1920 coins,7.711 kg,3294 coins (info),125,3626,1,0,0,0,0
5 December 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Fabulously ancient range protection crafted from white dragonhide.,50500 coins,30300 coins,20200 coins,1 kg,6586473 coins (info),8,9,1,0,0,0,0
15 March 2006 (Update),Yes,No,No,Yes,No,Wear,Drop,A pair of nice gloves.,2500 coins,1500 coins,1000 coins,0.226 kg,None,None,None,1,0,0,0,0
12 June 2014 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Ancient blessed dragonhide vambraces.,4000 coins,2400 coins,1600 coins,1 kg,99168 coins (info),8,262,1,0,0,0,0
6 July 2016 (Update),Yes,No,Yes,Yes,No,Wear,Drop,These gloves will make your flesh transparent.,1 coin,0 coins,0 coins,0.5 kg,3945952 coins (info),4,38,1,0,0,0,0
12 June 2014 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Armadyl blessed dragonhide vambraces.,4000 coins,2400 coins,1600 coins,1 kg,82964 coins (info),8,221,1,0,0,0,0
5 December 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Fabulously ancient armour beaten from magical silver.,90000 coins,54000 coins,36000 coins,0.907 kg,22310555 coins (info),8,27,1,0,0,0,0
4 January 2001 (Update),No,No,Yes,Yes,No,Wear,Drop,A full face helmet.,3520 coins,2112 coins,1408 coins,3.175 kg,1824 coins (info),125,10790,1,0,0,0,0
5 May 2004 (Update),No,No,Yes,Yes,No,Wear,Drop,Adamant full helmet with gold trim.,3520 coins,2112 coins,1408 coins,3.175 kg,13562 coins (info),8,99,1,0,0,0,0
5 May 2004 (Update),No,No,Yes,Yes,No,Wear,Drop,Adamant full helmet with trim.,3520 coins,2112 coins,1408 coins,3.175 kg,4336 coins (info),8,51,1,0,0,0,0
5 December 2006 (Update),No,No,Yes,Yes,No,Wear,Drop,An adamant helmet with a heraldic design.,3520 coins,2112 coins,1408 coins,3.175 kg,4635 coins (info),70,70,1,0,0,0,0
5 December 2006 (Update),No,No,Yes,Yes,No,Wear,Drop,An adamant helmet with a heraldic design.,3520 coins,2112 coins,1408 coins,3.175 kg,3628 coins (info),70,44,1,0,0,0,0
5 December 2006 (Update),No,No,Yes,Yes,No,Wear,Drop,An adamant helmet with a heraldic design.,3520 coins,2112 coins,1408 coins,3.175 kg,3025 coins (info),70,39,1,0,0,0,0
5 December 2006 (Update),No,No,Yes,Yes,No,Wear,Drop,An adamant helmet with a heraldic design.,3520 coins,2112 coins,1408 coins,3.175 kg,4035 coins (info),70,44,1,0,0,0,0
5 December 2006 (Update),No,No,Yes,Yes,No,Wear,Drop,An adamant helmet with a heraldic design.,3520 coins,2112 coins,1408 coins,3.175 kg,3743 coins (info),70,31,1,0,0,0,0
4 January 2001 (Update),No,No,Yes,Yes,No,Wear,Drop,A medium sized helmet.,1920 coins,1152 coins,768 coins,2.267 kg,939 coins (info),125,1191,1,0,0,0,0
12 June 2014 (Update),No,No,Yes,Yes,No,Wear,Drop,Rune full helmet in the colours of a long-forgotten god.,35200 coins,21120 coins,14080 coins,2.721 kg,47418 coins (info),8,100,1,0,0,0,0
12 June 2014 (Update),No,No,Yes,Yes,No,Wear,Drop,Rune full helmet in the colours of Armadyl.,35200 coins,21120 coins,14080 coins,2.721 kg,23645 coins (info),8,92,1,0,0,0,0
5 December 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Fabulously ancient mage protection enchanted in the 3rd Age.,50500 coins,30300 coins,20200 coins,0.003 kg,33873396 coins (info),8,7,1,0,0,0,0
5 December 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Fabulously ancient mage protection enchanted in the 3rd Age.,50400 coins,30240 coins,20160 coins,0.4 kg,10690602 coins (info),8,28,1,0,0,0,0
12 June 2014 (Update),Yes,No,No,Yes,No,Wear,Dismantle,Mystical robes with a light recolour.,140000 coins,84000 coins,56000 coins,2.267 kg,None,None,None,1,0,0,0,0
6 July 2016 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A light tuxedo jacket with a matching shirt.,10000 coins,6000 coins,4000 coins,2 kg,2435125 coins (info),4,6,1,0,0,0,0
13 March 2007 (Update),Yes,No,No,Yes,No,Wear,Drop,You'll certainly be alright wearing this.,50 coins,30 coins,20 coins,1.36 kg,None,None,None,1,0,0,0,0
24 July 2006 (Update),Yes,Lunar Diplomacy,No,Yes,No,Wear,The Oneiromancer might be able to help you get another.,Provides good protection.,100 coins,60 coins,40 coins,4.535 kg,None,None,None,1,0,0,0,0
12 August 2021 (Update),Yes,No,No,Yes,No,None,Drop,An ancient chestplate once worn by a powerful ranger.,1000000 coins,600000 coins,400000 coins,4 kg,None,None,None,1,0,0,0,0
23 October 2002 (Update),Yes,Biohazard,No,Yes,No,Wear,Drop,Medical looking.,40 coins,24 coins,16 coins,1.814 kg,None,None,None,1,0,0,0,0
15 August 2005 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Colourful.,20 coins,12 coins,8 coins,0.005 kg,1709 coins (info),150,53,1,0,0,0,0
